gender,region,highest_education,age_interval,studied_credits,disability,final_result
M,East Anglian Region,HE Qualification,55<=,240,N,Pass
F,Scotland,HE Qualification,35-55,60,N,Pass
F,North Western Region,A Level or Equivalent,35-55,60,Y,Withdrawn
F,South East Region,A Level or Equivalent,35-55,60,N,Pass
F,West Midlands Region,Lower Than A Level,0-35,60,N,Pass
M,Wales,A Level or Equivalent,35-55,60,N,Pass
M,Scotland,HE Qualification,0-35,60,N,Pass
F,North Western Region,A Level or Equivalent,0-35,120,N,Pass
F,East Anglian Region,A Level or Equivalent,0-35,90,N,Pass
M,North Region,Post Graduate Qualification,55<=,60,N,Pass
M,South Region,Lower Than A Level,35-55,60,N,Pass
F,East Anglian Region,A Level or Equivalent,0-35,60,N,Pass
M,East Anglian Region,Lower Than A Level,35-55,60,N,Pass
F,North Western Region,HE Qualification,0-35,60,N,Pass
M,Scotland,Lower Than A Level,35-55,60,N,Pass
F,East Anglian Region,A Level or Equivalent,0-35,60,N,Withdrawn
F,West Midlands Region,A Level or Equivalent,35-55,60,N,Pass
M,Ireland,HE Qualification,35-55,60,N,Pass
M,East Anglian Region,A Level or Equivalent,35-55,150,N,Fail
M,South West Region,A Level or Equivalent,35-55,60,N,Pass
M,East Midlands Region,A Level or Equivalent,0-35,60,N,Pass
M,North Western Region,HE Qualification,0-35,60,N,Pass
M,South Region,Lower Than A Level,35-55,60,N,Withdrawn
M,Wales,Lower Than A Level,35-55,60,N,Pass
M,Yorkshire Region,A Level or Equivalent,0-35,60,N,Pass
M,South Region,Lower Than A Level,35-55,60,N,Pass
M,North Western Region,A Level or Equivalent,0-35,60,N,Pass
M,London Region,HE Qualification,0-35,60,N,Pass
M,Ireland,Post Graduate Qualification,35-55,60,N,Pass
M,South Region,HE Qualification,35-55,60,N,Withdrawn
M,East Midlands Region,Lower Than A Level,0-35,60,N,Pass
M,East Anglian Region,HE Qualification,35-55,60,N,Pass
F,East Anglian Region,HE Qualification,35-55,60,N,Pass
M,Yorkshire Region,Lower Than A Level,35-55,60,N,Pass
F,North Region,Post Graduate Qualification,35-55,60,N,Pass
M,Yorkshire Region,HE Qualification,35-55,60,N,Pass
M,Wales,HE Qualification,0-35,60,N,Pass
M,East Anglian Region,A Level or Equivalent,35-55,60,N,Pass
M,East Midlands Region,HE Qualification,0-35,120,N,Pass
M,South Region,A Level or Equivalent,35-55,60,N,Pass
F,East Midlands Region,A Level or Equivalent,0-35,180,N,Pass
M,West Midlands Region,A Level or Equivalent,0-35,60,N,Withdrawn
F,East Anglian Region,Lower Than A Level,35-55,120,N,Pass
F,South East Region,A Level or Equivalent,35-55,60,N,Distinction
F,East Anglian Region,Lower Than A Level,0-35,180,N,Withdrawn
F,South East Region,Lower Than A Level,35-55,60,Y,Withdrawn
M,South West Region,A Level or Equivalent,35-55,60,N,Pass
F,East Midlands Region,A Level or Equivalent,0-35,240,N,Pass
M,South West Region,A Level or Equivalent,0-35,345,N,Withdrawn
F,North Region,A Level or Equivalent,35-55,60,N,Pass
F,South Region,HE Qualification,35-55,60,N,Pass
M,South West Region,HE Qualification,0-35,120,N,Pass
F,West Midlands Region,A Level or Equivalent,0-35,60,Y,Fail
M,North Region,Lower Than A Level,0-35,120,N,Fail
